#;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;W50;W10;S400;S1400;S2000;DIST;DIST_DM;ASSOC;SURVEY;PSR
;;[mas/yr];[mas/yr];[mas];[MJD];[deg];[deg];[deg];[deg];[s];[s/s];[cm^-3pc];[ms];[ms];[mJy];[mJy];[mJy];[kpc];[kpc];;;TYPE
72;J0108+6608;-32.75;35.15;0.47;56000;124.646;3.328;17.09377042;66.14291639;1.28366;1.31E-14;30.55;22.5;54.9;10;0.9;NAN;2.128;1.461;NAN;jb1,gb1,gb2,lotaas;NAN
73;J0108+6905;NAN;NAN;NAN;49875;124.461;6.277;17.12293293;69.09795221;1.071118;4.81E-17;61.06;12;65;3.7;0.4;NAN;1.981;1.981;NAN;gb2,gbncc,lotaas;NAN
74;J0110-22;NAN;NAN;NAN;NAN;163.377;-83.36;17.5;-22;1.262;NAN;20.8;43;64;NAN;NAN;NAN;25;25;NAN;gbncc;NAN
75;J0111+6624;NAN;NAN;NAN;56500;124.928;3.609;17.8411505;66.40299564;4.301872;8.36E-15;111.2;33;87;NAN;NAN;NAN;2.412;2.412;NAN;gbncc;NAN
76;J0111-7131;NAN;NAN;NAN;52369;300.669;-45.51;17.869875;-71.52966667;0.688542;7.09E-15;76;13;NAN;NAN;0.06;NAN;59.7;59.164;EXGAL:SMC;misc;NAN
77;J0113-7220;NAN;NAN;NAN;51212;300.615;-44.688;18.29620833;-72.34227778;0.325883;4.86E-15;125.49;NAN;NAN;NAN;0.4;NAN;59.7;60.999;EXGAL:SMC;misc;NAN
78;J0115+6325;NAN;NAN;NAN;57876;125.648;0.687;18.941125;63.43077778;0.521455;1.6E-15;65.07;22;NAN;NAN;NAN;NAN;1.931;1.931;NAN;lotaas;NAN
79;J0117+5914;-3.316;18.083;NAN;49751;126.283;-3.457;19.41108846;59.24399732;0.101439;5.85E-15;49.42;4.1;8.3;7.6;0.3;NAN;1.768;1.768;XRS:[pb15];gb3,gbncc,lotaas;NAN
80;J0121+53;NAN;NAN;NAN;NAN;127.378;-9.133;20.25;53.48333333;2.724785;NAN;91.38;20;NAN;NAN;NAN;NAN;2.644;2.644;NAN;chime;RRAT[gac+20]
81;J0122+1416;NAN;NAN;NAN;57876;134.03;-47.94;20.50545833;14.27138889;1.388994;3.8E-15;17.69;32;44;NAN;NAN;NAN;1.584;1.584;NAN;misc,lotaas,gbncc;NAN
82;J0125-23;NAN;NAN;NAN;55561;189.069;-81.541;21.29166667;-23.45722222;0.003676;NAN;9.59;0.67;1.1;NAN;NAN;NAN;0.872;0.872;NAN;htru_pks,gbncc;NAN
83;J0125+62;NAN;NAN;NAN;56292;126.899;-0.022;21.5;62.58333333;1.708233;NAN;118;17;61;3.4;NAN;NAN;2.403;2.403;NAN;gbncc;NAN
84;J0131-7310;NAN;NAN;NAN;52335;298.944;-43.648;22.86879167;-73.16926111;0.348124;1.76E-15;205.2;4.8;NAN;NAN;0.15;NAN;59.7;100;EXGAL:SMC;misc;NAN
85;J0133-6957;NAN;NAN;NAN;49980.2;297.691;-46.739;23.38525;-69.95824444;0.463474;1.2E-16;22.95;8;18;5;0.36;NAN;2.441;2.441;NAN;pks70;NAN
86;J0134-2937;17;-9;NAN;54428;230.251;-80.25;23.57784333;-29.62140056;0.136962;7.84E-17;21.81;1.9;12;9;3.9;NAN;25;25;NAN;pks70;NAN
87;J0137+1654;NAN;NAN;NAN;52225;138.449;-44.571;24.3495;16.91169444;0.414763;1.22E-17;26.08;14;62;1.4;NAN;NAN;3.061;3.061;NAN;ar4,lotaas;NAN
88;J0137+6349;NAN;NAN;NAN;56500;127.955;1.402;24.30569116;63.82620927;0.717963;9.6E-16;285.5;25;58;NAN;NAN;NAN;9.097;9.097;NAN;gbncc;NAN
89;J0139+3336;NAN;NAN;NAN;57901;134.381;-28.174;24.98845833;33.61658333;1.247961;2.06E-15;21.23;15;NAN;NAN;NAN;NAN;1.472;1.472;NAN;misc,lotaas;RRAT[ttm18]
90;J0139+5621;NAN;NAN;NAN;56000;129.609;-5.885;24.91066667;56.36022222;1.775344;7.91E-14;101.84;36;63;0.7;0.02;NAN;2.41;2.41;NAN;misc,lotaas,gbncc;NAN
91;J0139+5814;-19.11;-16.6;0.37;52275;129.216;-4.044;24.83225042;58.24217194;0.272451;1.07E-14;73.81;5.2;9.6;28;4.6;NAN;2.6;2.006;NAN;gb1,gb2,gb3,gb4,gbncc,lotaas;NAN
92;J0141+6009;NAN;NAN;NAN;49293;129.147;-2.105;25.416409;60.15897317;1.222949;3.91E-16;34.93;34.9;104.2;49;4.5;NAN;2.3;1.498;NAN;misc,gb3,gb4,gbncc,lotaas;NAN
93;J0141+63;NAN;NAN;NAN;56292;128.497;0.798;25.25;63.13333333;0.046686;NAN;272.8;2.2;4.9;1.3;NAN;NAN;8.774;8.774;NAN;gbncc;NAN
94;J0146+31;NAN;NAN;NAN;57022;136.532;-30.353;26.5625;31.06666667;0.9381;NAN;25;20;NAN;NAN;NAN;NAN;1.826;1.826;NAN;misc;NAN
95;J0146+6145;-4.1;1.9;NAN;49031;129.384;-0.431;26.59341667;61.75077778;8.688994;1.99E-12;NAN;NAN;NAN;NAN;NAN;NAN;3.6;NAN;XRS:4U_0142+61;misc;AXP,NRAD
96;J0147+5922;-6.39;3.8;0.47;56000;130.059;-2.723;26.93601417;59.36757889;0.196321;2.57E-16;40.11;7;10.1;6.6;2.1;NAN;2.128;1.578;NAN;gb3,lotaas;NAN
97;J0151-0635;10.7;-5.38;0.23;56000;160.368;-65.004;27.84465792;-6.58416306;1.464665;4.43E-16;25.66;117.2;112.1;38;1.6;NAN;25;25;NAN;mol2,pks70;NAN
98;J0152+0948;NAN;NAN;NAN;52858;146.812;-50.221;28.098875;9.80277778;2.746647;1.7E-15;22.88;11;103;0.91;NAN;NAN;2.477;2.477;NAN;ar4;NAN
99;J0152-1637;0.8;-31.3;0.46;56000;179.306;-72.457;28.04522458;-16.63156694;0.832742;1.3E-15;11.93;14.6;26.1;20;2.1;NAN;0.92;0.92;NAN;mol2,pks70;NAN
100;J0154+1833;10.3;-8.9;NAN;56900;143.185;-41.81;28.65367804;18.56409944;0.002365;2.92E-21;19.8;NAN;NAN;NAN;NAN;NAN;1.622;1.622;NAN;AO327;NAN
101;J0156+04;NAN;NAN;NAN;NAN;151.975;-55.155;29.00416667;4.03333333;NAN;NAN;27.5;3.8;NAN;NAN;NAN;NAN;25;25;NAN;AO327;RRAT[dsm+16]
102;J0156+3949;NAN;NAN;NAN;49701;136.369;-21.332;29.23019206;39.82459228;1.811561;1.52E-16;59.83;99;160;4;NAN;NAN;4.916;4.916;NAN;gb2,lotaas,gbncc;NAN
103;J0157+6212;1.57;44.8;0.56;56000;130.586;0.326;29.4580975;62.20740222;2.351745;1.89E-13;30.21;33.4;118.9;6.5;1.9;NAN;1.786;1.385;NAN;jb1,gb3,gbncc,lotaas;NAN
104;J0158+21;NAN;NAN;NAN;55387;143.208;-39.084;29.62083333;21.13333333;0.5053;NAN;20;NAN;NAN;NAN;NAN;NAN;1.569;1.569;NAN;AO327,lotaas;NAN
105;J0201+7005;NAN;NAN;NAN;56777;128.889;8.033;30.42226667;70.08836389;1.349184;5.51E-15;21.03;11;49;NAN;NAN;NAN;1.172;1.172;NAN;gbncc,lotaas;RRAT[kkl+15]
106;J0205+6449;-1.4;0.54;NAN;55487;130.719;3.084;31.40801029;64.82814842;0.065716;1.94E-13;140.7;2.3;NAN;NAN;0.04;NAN;3.2;2.784;GRS:4FGL_J0205.7+6449[fermi21],SNR:PWN:3;misc;HE
107;J0206-4028;9;26;NAN;57600;258.595;-69.633;31.5053875;-40.46767222;0.630551;1.2E-15;12.9;4.9;20;11;0.8;NAN;1.26;1.26;NAN;mol2,pks70;NAN
108;J0209+5759;NAN;NAN;NAN;58790;133.162;-3.314;32.40543333;57.99591944;1.063906;1.39E-14;55.28;20;NAN;NAN;NAN;NAN;1.743;1.743;NAN;chime;NAN
109;J0210+5845;NAN;NAN;NAN;58011;133.098;-2.543;32.73083333;58.75111111;1.766208;1.34E-13;76.77;40.9;76;NAN;NAN;NAN;1.952;1.952;NAN;lotaas;NAN
110;J0211-8159;NAN;NAN;NAN;49525.14;299.592;-34.606;32.99583333;-81.99338889;1.077333;2.9E-16;24.36;48.5;72;6;0.3;NAN;1.523;1.523;NAN;pks70;NAN
111;J0212+5222;NAN;NAN;NAN;56500;135.331;-8.52;33.21724475;52.38041719;0.376386;6.6E-15;38.21;13;20;4.1;0.9;NAN;1.558;1.558;NAN;htru_eff,gbncc,lotaas;NAN
112;J0214+5222;NAN;NAN;NAN;55974;135.632;-8.423;33.73029708;52.37804167;0.024575;2.99E-19;22.04;1.1;3.1;0.9;NAN;NAN;1.161;1.161;NAN;gbncc,lotaas;NAN
113;J0215+6218;NAN;NAN;NAN;51341;132.575;1.03;33.98594524;62.30927029;0.54888;6.62E-16;84;41;105;14.5;3.7;NAN;2.004;2.004;NAN;misc,gbncc;NAN
114;J0218+4232;5.35;-3.74;0.16;55849.1;139.508;-17.527;34.52649404;42.53815976;0.002323;7.74E-20;61.25;1.03;1.46;47;0.9;NAN;3.15;2.928;GRS:4FGL_J0218.1+4232[fermi21];misc,gbncc;HE[khvb98,aaa+09f]
