#;PSRJ;PMRA;PMDEC;PX;POSEPOCH;Gl;Gb;RAJD;DECJD;P0;P1;DM;W50;W10;S400;S1400;S2000;DIST;DIST_DM;ASSOC;SURVEY;PSR
;;[mas/yr];[mas/yr];[mas];[MJD];[deg];[deg];[deg];[deg];[s];[s/s];[cm^-3pc];[ms];[ms];[mJy];[mJy];[mJy];[kpc];[kpc];;;TYPE
914;J1452-5851;NAN;NAN;NAN;55367;318.087;0.398;223.21916667;-58.85366667;0.386643;5.07E-14;260.5;7.5;NAN;NAN;0.33;NAN;4.504;4.504;NAN;pksmb,htru_pks;NAN
915;J1452-6036;NAN;NAN;NAN;58320;317.296;-1.169;223.2161875;-60.60873056;0.154992;1.45E-15;349.52;1.5;18;NAN;1.9;1.36;6.135;6.135;NAN;pksmb,htru_pks;NAN
916;J1453+1902;0.858;-10.879;-1.1;57206;23.395;60.812;223.44049735;19.03669839;0.005792;1.17E-20;14.06;0.4;1.1;2;0.29;NAN;1.269;1.269;NAN;ar4;NAN
917;J1453-6413;-16;-21.3;NAN;55433;315.733;-4.427;223.38610417;-64.22111111;0.179487;2.74E-15;71.25;3.1;9.7;230;18;NAN;2.8;1.435;NAN;mol1,mol2,pks70,pksmb,htru_pks;NAN
918;J1454-5846;NAN;NAN;NAN;51300;318.272;0.391;223.54545;-58.77631667;0.045249;8.17E-19;115.95;2.9;4.8;NAN;0.24;NAN;2.985;2.985;NAN;pksmb,htru_pks;NAN
919;J1455-3330;7.88;-2.072;0.1;55569;330.722;22.562;223.94987774;-33.51288526;0.007987;2.43E-20;13.57;0.8;2.3;9;1;NAN;0.684;0.684;GRS:4FGL_J1455-3331[fermi21];pksmb,FermiAssoc;HE[lnl+95,fermi21]
920;J1455-59;NAN;NAN;NAN;50841.7;318.101;-0.203;223.775;-59.38333333;0.176191;NAN;498;NAN;NAN;NAN;1.6;NAN;6.692;6.692;NAN;pksmb;NAN
921;J1456-48;NAN;NAN;NAN;56657;323.492;9.837;224;-48;0.53681;NAN;133;NAN;NAN;NAN;NAN;NAN;9.338;9.338;NAN;ghrss;NAN
922;J1456-6843;-39.5;-12.3;2.2;57600;313.868;-8.543;223.99967917;-68.72763889;0.263377;9.89E-17;8.61;12.4;29;350;64;NAN;0.43;0.436;NAN;mol1,mol2,pks70,pkssw,htru_pks;NAN
923;J1457-5122;NAN;NAN;NAN;57600;322.134;6.722;224.41705417;-51.38191667;1.748308;5.3E-15;37;14;85;4;1.38;NAN;0.994;0.994;NAN;mol2,pks70,pkssw,htru_pks;NAN
924;J1457-5900;NAN;NAN;NAN;51462;318.561;-0.027;224.4125;-59.01416667;1.498637;3.66E-15;175;62;NAN;NAN;0.24;NAN;3.738;3.738;NAN;pksmb,htru_pks;NAN
925;J1457-5902;NAN;NAN;NAN;51312;318.538;-0.037;224.38291667;-59.03444444;0.390739;1.23E-14;477.2;8.4;NAN;NAN;0.26;NAN;6.366;6.366;NAN;pksmb,htru_pks;NAN
926;J1459-6053;NAN;NAN;NAN;54935;317.886;-1.791;224.87495833;-60.88908333;0.103151;2.53E-14;NAN;NAN;NAN;NAN;NAN;NAN;1.84;NAN;GRS:4FGL_J1459.5-6053[fermi21];FermiBlind;NRAD
927;J1501-0046;NAN;NAN;NAN;55170;356.582;48.051;225.43731583;-0.7732;0.464037;2.39E-16;22.26;12;16;NAN;NAN;NAN;2.131;2.131;NAN;gb350,gbncc;NAN
928;J1501-5637;NAN;NAN;NAN;51506;320.181;1.81;225.4625;-56.63;0.782949;1.7E-16;258;25;NAN;NAN;0.21;NAN;4.938;4.938;NAN;pksmb,htru_pks;NAN
929;J1502+28;NAN;NAN;NAN;NAN;42.78;61.127;225.5375;28.21666667;3.784;NAN;14;NAN;NAN;NAN;NAN;NAN;1.289;1.289;NAN;misc;RRAT(?)[ttm18]
930;J1502-5653;NAN;NAN;NAN;51780;320.186;1.505;225.73912083;-56.894225;0.535504;1.83E-15;194;7.2;14;NAN;0.39;NAN;3.961;3.961;NAN;pksmb,htru_pks;NAN
931;J1502-5828;NAN;NAN;NAN;51297;319.395;0.133;225.6825;-58.47833333;0.668105;3.64E-14;584;22;NAN;NAN;0.5;NAN;7.093;7.093;NAN;pksmb,htru_pks;NAN
932;J1502-6128;NAN;NAN;NAN;51708;317.921;-2.483;225.62433333;-61.48063889;0.842104;1.35E-15;256.5;29;53;NAN;0.56;NAN;5.189;5.189;NAN;pksmb,htru_pks;NAN
933;J1502-6752;-6;-14;NAN;55421.2;314.799;-8.067;225.5775625;-67.87132194;0.026744;3.15E-19;151.2;2.97;17;NAN;0.69;NAN;7.73;7.73;NAN;htru_pks;NAN
934;J1503+2111;NAN;NAN;NAN;52857;29.062;59.296;225.9775;21.18591667;3.314002;1.4E-16;3.26;26;80;1.3;NAN;NAN;0.244;0.244;NAN;ar4;NAN
935;J1504-5621;NAN;NAN;NAN;51505;320.671;1.849;226.20475;-56.35888889;0.412985;5.53E-15;148.6;11;NAN;NAN;0.24;NAN;3.548;3.548;NAN;pksmb,htru_pks;NAN
936;J1504-5659;NAN;NAN;NAN;57483;320.328;1.318;226.13327917;-56.98872222;1.672372;1.43E-15;454.2;49;60.3;NAN;0.11;NAN;11.274;11.274;NAN;htru_pks;NAN
937;J1505-25;NAN;NAN;NAN;NAN;337.601;28.735;226.25;-25;0.999;NAN;44.7;11;27;NAN;NAN;NAN;4.019;4.019;NAN;gbncc;NAN
938;J1506-5158;NAN;NAN;NAN;43613.68;323.076;5.534;226.66458333;-51.96944444;0.840739;6.37E-15;61;14;35;5;3.75;NAN;1.384;1.384;NAN;mol2;NAN
939;J1507-4352;NAN;NAN;NAN;57600;327.339;12.459;226.89239583;-43.86779167;0.286758;1.58E-15;48.7;3.9;19;16;0.9;NAN;1.394;1.394;NAN;mol2,pks70,pkssw,htru_pks;NAN
940;J1507-5800;NAN;NAN;NAN;57604;320.118;0.258;226.7646;-58.01561111;0.897254;2.6E-16;429.5;8.7;64.5;NAN;0.2;NAN;5.893;5.893;NAN;htru_pks;NAN
941;J1507-6640;NAN;NAN;NAN;57600;315.858;-7.297;226.95264167;-66.68273889;0.355656;1.15E-15;129.8;2.8;21;13;0.6;NAN;4.792;4.792;NAN;mol2,pkssw,htru_pks;NAN
942;J1509+5531;-73.64;-62.65;0.47;52275;91.325;52.287;227.35679083;55.525665;0.739682;5E-15;19.62;10.9;26.3;114;8;NAN;2.1;2.074;NAN;gb1,gb2,gb3,gb4,gbncc,lotaas;NAN
943;J1509-5850;NAN;NAN;NAN;55378;319.972;-0.621;227.36315;-58.84889167;0.088925;9.17E-15;142.1;5.5;NAN;NAN;0.21;NAN;3.372;3.372;GRS:4FGL_J1509.4-5850[fermi21],XRS:PWN[h;pksmb;HE[waa+10]
944;J1509-6015;NAN;NAN;NAN;51759;319.228;-1.815;227.28125;-60.25516667;0.339038;2.12E-15;423.6;13;NAN;NAN;0.17;NAN;11.09;11.09;NAN;pksmb,htru_pks;NAN
945;J1510-4422;NAN;NAN;NAN;43557.99;327.586;11.729;227.70375;-44.36861111;0.943871;6.1E-16;84;50;100;14;NAN;NAN;4.128;4.128;NAN;mol2,pks70,pkssw,htru_pks;NAN
946;J1511-5414;NAN;NAN;NAN;57600;322.598;3.177;227.9636875;-54.24453333;0.200384;4.85E-16;84.76;5.9;11;NAN;0.75;NAN;2.43;2.43;NAN;pksmb,htru_pks;NAN
947;J1511-5835;NAN;NAN;NAN;51397;320.289;-0.508;227.77916667;-58.59111111;0.301511;3.44E-16;329.4;16;NAN;NAN;0.5;NAN;5.122;5.122;NAN;pksmb,htru_pks;NAN
948;J1512-5431;NAN;NAN;NAN;51709;322.486;2.92;228.02375;-54.52194444;2.040532;1.92E-15;219;110;NAN;NAN;0.38;NAN;5.115;5.115;NAN;pksmb,htru_pks;NAN
949;J1512-5759;NAN;NAN;NAN;55383;320.772;-0.108;228.17933333;-57.99994444;0.128699;6.85E-15;627.47;4.9;16;NAN;7.8;NAN;6.835;6.835;NAN;pks1,pksmb,htru_pks;NAN
950;J1513-2550;NAN;NAN;NAN;56989.78;338.82;26.964;228.34716912;-25.84202361;0.002119;2.16E-20;46.86;NAN;NAN;NAN;NAN;NAN;3.956;3.956;GRS:4FGL_J1513.4-2549[fermi21];FermiAssoc;HE
951;J1513-5739;NAN;NAN;NAN;51137;321.097;0.104;228.49579167;-57.65038889;0.973458;2.75E-14;469.7;21;33;NAN;0.77;NAN;5.89;5.89;NAN;pksmb,htru_pks;NAN
952;J1513-5908;NAN;NAN;NAN;55336;320.321;-1.162;228.48254583;-59.136;0.151582;1.53E-12;252.5;14.5;40;1.5;1.43;NAN;4.4;4.45;SNR:G320.4-1.2,GRS:AGILE[ppp+09];misc,pksmb,htru_pks;HE[umw+93,ppp+09]
953;J1513-5946;NAN;NAN;NAN;54909;319.97;-1.697;228.43658333;-59.77552778;1.046117;8.53E-15;171.7;3.3;NAN;NAN;NAN;NAN;3.757;3.757;NAN;pksmb;RRAT
954;J1513-6013;NAN;NAN;NAN;57633;319.753;-2.091;228.47508333;-60.22402778;1.958737;1.37E-15;322.7;35.3;64.2;NAN;0.2;NAN;7.928;7.928;NAN;htru_pks;NAN
955;J1514-4834;NAN;NAN;NAN;57600;325.872;7.835;228.56067917;-48.57221389;0.45484;9.26E-16;51.5;8;23;8.5;1.3;NAN;1.243;1.243;NAN;mol2,pks70,pkssw,htru_pks;NAN
956;J1514-4946;-0.3;-30;NAN;55520;325.249;6.807;228.57964208;-49.77097667;0.003589;1.86E-20;31.05;NAN;NAN;NAN;0.17;NAN;0.909;0.909;GRS:4FGL_J1514.3-4946[fermi21];FermiAssoc;HE
957;J1514-5316;NAN;NAN;NAN;57892;323.461;3.798;228.66733333;-53.26730556;0.296279;1.6E-18;27.1;5.16;16.1;NAN;0.15;NAN;0.85;0.85;NAN;htru_pks;NAN
958;J1514-5925;NAN;NAN;NAN;55415;320.284;-1.482;228.74625;-59.42875;0.148797;2.88E-15;192.51;3.8;NAN;NAN;0.29;NAN;3.906;3.906;NAN;pksmb,htru_pks;NAN
959;J1515-5720;NAN;NAN;NAN;55380;321.389;0.281;228.78845833;-57.34726389;0.286648;6.09E-15;480.6;7;NAN;NAN;0.25;NAN;6.069;6.069;NAN;pksmb,htru_pks;NAN
960;J1516-43;NAN;NAN;NAN;57575.4;329.041;12.062;229.13458333;-43.33333333;0.036022;NAN;70.3;NAN;NAN;NAN;NAN;NAN;3.037;3.037;NAN;ghrss;NAN
961;J1517-32;NAN;NAN;NAN;56387;335.397;21.105;229.25416667;-32.43472222;0.064402;NAN;25.3;2.3;3.9;NAN;NAN;NAN;0.966;0.966;NAN;htru_pks,gbncc;NAN
962;J1517-4356;NAN;NAN;NAN;51500;328.85;11.463;229.36391667;-43.93830556;0.650837;2.16E-16;87.78;10.8;26;NAN;0.5;NAN;4.473;4.473;NAN;pkssw,htru_pks;NAN
963;J1517-4636;NAN;NAN;NAN;55210;327.399;9.217;229.3724;-46.60016667;0.886612;2.1E-15;127;15.5;27;NAN;0.3;NAN;7.675;7.675;NAN;htru_pks;NAN
964;J1518+0204A;NAN;NAN;NAN;48445;3.87;46.802;229.63882333;2.09098611;0.005554;4.12E-20;30.08;0.37;NAN;NAN;0.12;NAN;7.5;25;GC:M5(NGC5904);misc;NAN
965;J1518+0204B;NAN;NAN;NAN;48445;3.859;46.806;229.631075;2.08763056;0.007947;-3.33E-21;29.47;1.6;NAN;0.5;0.03;NAN;7.5;13.608;GC:M5(NGC5904);misc;NAN
966;J1518+0204C;4.67;-8.24;NAN;52850;3.856;46.797;229.63662039;2.07994869;0.002484;2.61E-20;29.31;0.15;NAN;NAN;0.04;NAN;7.5;6.616;GC:M5(NGC5904),OPT:COM_M5C[prf+14];misc;NAN
967;J1518+0204D;NAN;NAN;NAN;53735;3.859;46.796;229.63833333;2.08111111;0.002988;NAN;29.3;0.54;NAN;NAN;0.01;NAN;7.5;6.511;GC:M5(NGC5904);misc;NAN
968;J1518+0204E;NAN;NAN;NAN;53735;3.864;46.795;229.64166667;2.08277778;0.003182;NAN;29.3;0.25;NAN;NAN;0.01;NAN;7.5;6.507;GC:M5;misc;NAN
969;J1518+0204F;NAN;NAN;NAN;NAN;3.859;46.796;229.63833333;2.08111111;0.00265;NAN;29.4;NAN;NAN;NAN;NAN;NAN;7.5;7.47;GC:M5(NGC5904)[pqm+21];misc;BINARY[pqm+21]
970;J1518-0627;NAN;NAN;NAN;55170;355.146;41.002;229.74629333;-6.45213889;0.794997;4.18E-16;27.96;9.5;42;NAN;NAN;NAN;2.679;2.679;NAN;gb350,gbncc;NAN
971;J1518-3952;NAN;NAN;NAN;56442;331.368;14.715;229.73736667;-39.87508333;0.499196;2.37E-16;102.4;9;43;NAN;0.9;NAN;12.297;12.297;NAN;htru_pks,gbncc;NAN
972;J1518+4904;-0.67;-8.53;NAN;52000;80.808;54.282;229.56999618;49.07618089;0.040935;2.72E-20;11.61;1.42;2.36;8;4;NAN;0.964;0.964;NAN;gb4,gbncc,lotaas;NAN
973;J1518-5415;NAN;NAN;NAN;54220.6;323.383;2.675;229.55625;-54.2625;0.214925;4.06E-17;167.2;4;NAN;NAN;0.08;NAN;3.768;3.768;NAN;pksmb,htru_pks;NAN
974;J1519-5734;NAN;NAN;NAN;53105;321.8;-0.238;229.94829167;-57.57044444;0.518758;4.27E-15;654.7;40;82;NAN;0.45;NAN;6.799;6.799;NAN;pksmb,htru_pks;NAN
975;J1519-6106;NAN;NAN;NAN;53048;319.876;-3.216;229.89920833;-61.11516667;2.154307;8.37E-15;221;25;47;NAN;0.19;NAN;5.047;5.047;NAN;pksmb,htru_pks;NAN
976;J1519-6308;NAN;NAN;NAN;52144;318.743;-4.896;229.78983333;-63.13875;1.254052;5.96E-15;250;22;NAN;NAN;0.32;NAN;12.367;12.367;NAN;pksmb,htru_pks;NAN
977;J1522-5525;NAN;NAN;NAN;51097;323.231;1.397;230.52791667;-55.42152778;1.389605;3.3E-15;79;10;NAN;NAN;0.25;NAN;2;2;NAN;pksmb,htru_pks;NAN
978;J1522-5735;NAN;NAN;NAN;55250;322.052;-0.415;230.52208333;-57.58333333;0.102136;3.12E-14;NAN;NAN;NAN;NAN;0;NAN;NAN;NAN;GRS:4FGL_J1521.9-5735[fermi21],SNR:G321.;FermiBlind;NRAD
979;J1522-5829;NAN;NAN;NAN;57600;321.63;-1.215;230.67601667;-58.48411528;0.395354;2.06E-15;199.9;13.2;25;NAN;6;NAN;3.882;3.882;NAN;pks1,pksmb,htru_pks;NAN
980;J1523-3235;NAN;NAN;NAN;57934;336.517;20.172;230.90708333;-32.59502778;1.504835;9.53E-16;72.3;93;97;NAN;0.2;NAN;7.997;7.997;NAN;pks_superb,gbncc;NAN
981;J1524-20;NAN;NAN;NAN;NAN;344.502;29.246;231.18333333;-20.98916667;NAN;NAN;40.1;NAN;NAN;NAN;NAN;NAN;3.175;3.175;NAN;gbncc;RRAT[mss+20]
982;J1524-5625;NAN;NAN;NAN;51733;323;0.351;231.20775;-56.42316667;0.078219;3.9E-14;152.2;8;NAN;NAN;1.28;NAN;3.378;3.378;NAN;pksmb,htru_pks;NAN
983;J1524-5706;NAN;NAN;NAN;55383;322.568;-0.186;231.08925;-57.10962222;1.116174;3.56E-13;832;14.3;43;NAN;0.45;NAN;7.434;7.434;NAN;pksmb,htru_pks;NAN
984;J1524-5819;NAN;NAN;NAN;54174.8;321.907;-1.201;231.10270833;-58.32058333;0.961043;1.26E-13;406.6;13;NAN;NAN;0.09;NAN;7.546;7.546;NAN;pksmb;NAN
985;J1525-5417;NAN;NAN;NAN;51463;324.258;2.078;231.368125;-54.28888889;1.011694;1.62E-14;235;15;NAN;NAN;0.18;NAN;4.88;4.88;NAN;pksmb,htru_pks;NAN
986;J1525-5523;NAN;NAN;NAN;55682;323.662;1.151;231.40026667;-55.39088889;0.355156;8.96E-18;124.7;31;40.9;NAN;0.21;NAN;3.132;3.132;NAN;htru_pks;NAN
987;J1525-5545;NAN;NAN;NAN;55891.5;323.439;0.851;231.367225;-55.763845;0.01136;1.31E-19;126.93;0.54;NAN;NAN;0.33;NAN;3.139;3.139;NAN;htru_pks;NAN
988;J1525-5605;NAN;NAN;NAN;51467;323.286;0.565;231.42270833;-56.08694444;0.280349;1.16E-16;333.5;25;NAN;NAN;0.25;NAN;5.078;5.078;NAN;pksmb,htru_pks;NAN
989;J1526-2744;NAN;NAN;NAN;NAN;340.198;23.702;231.64166667;-27.72611111;0.00249;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;GRS:4FGL_J1526.6+2743[fermi21];FermiAssoc;NRAD[fermi21]
990;J1526-5633;NAN;NAN;NAN;51490;323.136;0.093;231.67166667;-56.56194444;0.301888;1.23E-16;329;13;NAN;NAN;0.11;NAN;4.796;4.796;NAN;pksmb;NAN
991;J1527-3931;NAN;NAN;NAN;57600;333.05;14.02;231.99511667;-39.52616667;2.417605;1.91E-14;48.8;40;65;11;NAN;NAN;1.691;1.691;NAN;mol2,pks70,pkssw,htru_pks,gbncc;NAN
992;J1527-5552;NAN;NAN;NAN;57600;323.638;0.59;231.919725;-55.86898667;1.048719;1.13E-14;370.06;17;35;17;0.84;NAN;5.381;5.381;NAN;mol2,pks70,pksmb,htru_pks;NAN
993;J1528-3146;NAN;NAN;NAN;52500;337.939;20.217;232.1456425;-31.76856556;0.060822;2.49E-19;18.16;0.4;1.29;NAN;0.4;NAN;0.774;0.774;NAN;pkssw,gbncc;NAN
994;J1528-4109;NAN;NAN;NAN;51500;332.106;12.671;232.03347083;-41.158;0.526556;3.96E-16;89.5;7.2;18;NAN;0.6;NAN;5.453;5.453;NAN;pkssw,htru_pks;NAN
995;J1528-5547;NAN;NAN;NAN;55839;323.796;0.579;232.16325;-55.78972222;3.467302;7.75E-15;269;52.9;110;NAN;0.07;NAN;4.471;4.471;NAN;htru_pks;NAN
996;J1528-5838;NAN;NAN;NAN;55806;322.166;-1.752;232.10125;-58.63361111;0.355687;2.48E-14;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;GRS:4FGL_J1528.4-5838[fermi21];FermiBlind;NRAD
997;J1529-26;NAN;NAN;NAN;NAN;341.832;24.728;232.25;-26;0.799;NAN;44.6;21;31;NAN;NAN;NAN;3.008;3.008;NAN;gbncc;NAN
998;J1529-3828;NAN;NAN;NAN;55847;333.886;14.728;232.31294417;-38.47940278;0.008486;2.7E-20;73.62;1.23;1.1;NAN;0.16;NAN;4.296;4.296;NAN;htru_pks,gbncc;NAN
999;J1529+40;NAN;NAN;NAN;NAN;66.183;54.907;232.3;40.81666667;0.4764;NAN;6.61;71;NAN;NAN;NAN;NAN;0.499;0.499;NAN;misc,lotaas;NAN
1000;J1529-5355;NAN;NAN;NAN;51485;325.006;2.009;232.49;-53.92666667;0.891265;8.1E-16;292;56;NAN;NAN;0.37;NAN;6.24;6.24;NAN;pksmb,htru_pks;NAN
1001;J1529-5611;NAN;NAN;NAN;51311;323.678;0.173;232.39916667;-56.19138889;0.822249;4.1E-15;149;42;NAN;NAN;0.14;NAN;3.321;3.321;NAN;pksmb,htru_pks;NAN
1002;J1530-21;NAN;NAN;NAN;NAN;345.574;28.452;232.5;-21;0.505;NAN;38.05;12;29;NAN;NAN;NAN;2.696;2.696;NAN;gbncc;NAN
1003;J1530-5327;NAN;NAN;NAN;55431;325.328;2.347;232.61205;-53.46556111;0.278958;4.68E-15;49.6;7.9;NAN;NAN;0.92;NAN;1.123;1.123;NAN;pksmb,htru_pks;NAN
1004;J1530-6343;NAN;NAN;NAN;56093;319.506;-6.101;232.69836667;-63.72044444;0.91032;8.25E-16;206;11;32.6;NAN;0.37;NAN;11.447;11.447;NAN;htru_pks;NAN
1005;J1531-4012;NAN;NAN;NAN;51500;333.147;13.113;232.78354167;-40.20858333;0.356849;9.63E-17;106.65;6.9;NAN;NAN;0.4;NAN;9.528;9.528;NAN;pkssw;NAN
1006;J1531-5610;NAN;NAN;NAN;55304;323.897;0.033;232.86625417;-56.18203611;0.084206;1.38E-14;110.41;4.9;11;NAN;0.87;NAN;2.841;2.841;GRS:4FGL_J1531.5-5612[fermi21];pksmb,htru_pks,FermiAssoc;HE[kbm+03,fermi21]
1007;J1532+2745;1.5;18.93;0.59;56000;43.481;54.495;233.04318583;27.76378417;1.124836;7.8E-16;14.69;25.7;35.7;13;0.8;NAN;1.695;1.321;NAN;gb1,ar4,gb4,lotaas;NAN
1008;J1532-5308;NAN;NAN;NAN;51587;325.78;2.434;233.14791667;-53.135;0.443825;6.5E-17;181;26;NAN;NAN;0.25;NAN;3.825;3.825;NAN;pksmb,htru_pks;NAN
1009;J1532-56;NAN;NAN;NAN;56657;323.79;-0.321;233.075;-56.53333333;0.522977;NAN;282;27;54;NAN;0.1;NAN;4.44;4.44;NAN;htru_pks;NAN
1010;J1534-4428;NAN;NAN;NAN;55337;331.161;9.261;233.71666667;-44.46927778;1.221426;1.8E-16;137.3;11.9;178;NAN;0.7;NAN;9.64;9.64;NAN;htru_pks;NAN
1011;J1534-46;NAN;NAN;NAN;54831;330.007;7.91;233.53333333;-46.23333333;0.364835;NAN;64.4;NAN;NAN;NAN;NAN;NAN;2.035;2.035;NAN;pkssw;RRAT
1012;J1534-5334;-27;-12;NAN;57600;325.715;1.944;233.53449167;-53.57212778;1.368882;1.43E-15;24.82;12.2;66;70;6.8;NAN;0.81;0.81;NAN;mol1,mol2,pks1,pks70,pksmb,htru_pks;NAN
1013;J1534-5405;NAN;NAN;NAN;48360.6;325.463;1.483;233.63995833;-54.09436111;0.289689;1.54E-15;190.82;4.3;21;NAN;1.4;NAN;3.748;3.748;NAN;pks1,pksmb,htru_pks;NAN
1014;J1535-4114;NAN;NAN;NAN;51500;333.175;11.821;233.821125;-41.23419444;0.432866;4.07E-15;66.28;14.8;22;NAN;2.9;NAN;2.77;2.77;NAN;pkssw,htru_pks;NAN
1015;J1535-4415;NAN;NAN;NAN;53000;331.447;9.324;233.983;-44.25233333;0.468402;4.05E-17;110.7;NAN;NAN;NAN;NAN;NAN;5.818;5.818;NAN;pkssw,htru_pks;NAN
1016;J1535-5450;NAN;NAN;NAN;51448;325.194;0.757;233.99275;-54.84055556;0.566734;1.43E-14;219.8;9.4;NAN;NAN;0.17;NAN;3.946;3.946;NAN;pksmb,htru_pks;NAN
1017;J1535-5848;NAN;NAN;NAN;51760;322.797;-2.406;233.81983333;-58.80769444;0.307178;2.72E-15;107;5.8;12;NAN;0.35;NAN;2.971;2.971;NAN;pksmb,htru_pks;NAN
1018;J1536+17;NAN;NAN;NAN;NAN;27.983;50.988;234.0625;17.81666667;0.9333;NAN;28;20;NAN;NAN;NAN;NAN;25;25;NAN;misc;NAN
1019;J1536-30;NAN;NAN;NAN;NAN;340.437;20.638;234;-30;1.901;NAN;63.6;14;67;NAN;NAN;NAN;5.285;5.285;NAN;gbncc;NAN
1020;J1536-3602;NAN;NAN;NAN;53000;336.555;15.841;234.072425;-36.04966667;1.319759;7.9E-16;86.8;79.9;112;NAN;1.9;NAN;7.62;7.62;NAN;pkssw,gbncc;NAN
1021;J1536-4948;-7.3;-2.7;NAN;56530.6;328.198;4.789;234.09675379;-49.81519111;0.00308;2.12E-20;38;NAN;NAN;NAN;NAN;NAN;0.978;0.978;GRS:4FGL_J1536.4-4948[brj+21];FermiAssoc;HE[brj+21]
1022;J1536-5433;NAN;NAN;NAN;51138;325.374;0.98;234.02008333;-54.55416667;0.881438;1.91E-15;147.5;33.5;66;NAN;1.8;NAN;3.306;3.306;NAN;pksmb,htru_pks;NAN
1023;J1536-5907;NAN;NAN;NAN;54211.6;322.722;-2.734;234.07383333;-59.11766667;0.557841;1.37E-15;316;13;NAN;NAN;0.22;NAN;8.135;8.135;NAN;pksmb,htru_pks;NAN
1024;J1537+1155;1.482;-25.285;0.86;52077;19.848;48.341;234.29150721;11.93206496;0.037904;2.42E-18;11.62;0.31;1.5;36;0.6;NAN;1.051;0.877;XRS:[kpg06b];ar4,gb4,lotaas;NAN
1025;J1537-4912;NAN;NAN;NAN;53000;328.705;5.181;234.3675;-49.20083333;0.301311;1.93E-15;69.7;22;NAN;NAN;0.31;NAN;2.055;2.055;NAN;pkssw,pksmb;NAN
1026;J1537-5153;NAN;NAN;NAN;51423;327.088;3.035;234.31554167;-51.885;1.528124;4.17E-15;93;23;NAN;NAN;0.07;NAN;2.744;2.744;NAN;pksmb,htru_pks;NAN
1027;J1537-5312;NAN;NAN;NAN;57575;326.351;1.935;234.40706108;-53.20696028;0.006927;1.59E-20;117.52;1.84;2.35;NAN;0.46;NAN;3.054;3.054;NAN;htru_pks;NAN
1028;J1537-5645;NAN;NAN;NAN;51306;324.283;-0.943;234.4625;-56.75111111;0.430464;2.78E-15;707;67;NAN;NAN;1;NAN;8.465;8.465;NAN;pksmb,htru_pks;NAN
1029;J1538+2345;NAN;NAN;NAN;56745;37.318;52.391;234.52529167;23.75111111;3.449385;6.89E-15;14.91;NAN;NAN;NAN;NAN;NAN;1.312;1.312;NAN;gb350;RRAT
1030;J1538-5438;NAN;NAN;NAN;51138;325.645;0.679;234.70395833;-54.63805556;0.276726;1.42E-15;136.9;11;NAN;NAN;0.24;NAN;3.179;3.179;NAN;pksmb,htru_pks;NAN
1031;J1538-5519;NAN;NAN;NAN;54221.1;325.219;0.134;234.670125;-55.32944444;0.395731;4.1E-17;611;86;NAN;NAN;0.42;NAN;5.94;5.94;NAN;pksmb,htru_pks;NAN
1032;J1538-5551;NAN;NAN;NAN;55421;324.912;-0.299;234.68756667;-55.86026389;0.104676;3.21E-15;602.67;7.4;NAN;NAN;0.33;NAN;5.977;5.977;NAN;pksmb,htru_pks;NAN
1033;J1538-5621;NAN;NAN;NAN;55912;324.608;-0.703;234.680375;-56.36541667;1.908494;7.31E-15;150;34.1;60.6;NAN;0.14;NAN;3.313;3.313;NAN;htru_pks;NAN
1034;J1538-5638;NAN;NAN;NAN;51490;324.378;-0.871;234.52375;-56.63666667;0.84398;7.12E-15;546;46;NAN;NAN;0.28;NAN;7.043;7.043;NAN;pksmb,htru_pks;NAN
1035;J1538-5732;NAN;NAN;NAN;51803;323.865;-1.617;234.57575;-57.54147222;0.341213;4.55E-15;152.7;5;13;NAN;0.35;NAN;3.428;3.428;NAN;pksmb,htru_pks;NAN
1036;J1538-5750;NAN;NAN;NAN;51484;323.672;-1.843;234.53504167;-57.83808333;0.506568;4.2E-17;91;4.7;145;NAN;0.06;NAN;2.519;2.519;NAN;pksmb;NAN
1037;J1539-4828;NAN;NAN;NAN;54845;329.428;5.541;234.92016667;-48.4825;1.272842;1.27E-15;117;19.8;91;NAN;0.2;NAN;3.465;3.465;NAN;pksmb,htru_pks;NAN
1038;J1539-5521;NAN;NAN;NAN;51730;325.256;0.077;234.78320833;-55.35311111;1.004958;7.28E-16;380;23;NAN;NAN;0.14;NAN;4.912;4.912;NAN;pksmb,htru_pks;NAN
1039;J1539-5626;49;-36;NAN;55408;324.621;-0.806;234.80858333;-56.44063889;0.243395;4.85E-15;175.85;7.6;17;NAN;5;NAN;3.536;3.536;NAN;pks1,pksmb,htru_pks;NAN
1040;J1539-6322;NAN;NAN;NAN;53000;320.488;-6.39;234.85291667;-63.38144444;1.630846;2.02E-16;163.5;56;NAN;NAN;NAN;NAN;7.095;7.095;NAN;pkssw,htru_pks;NAN
1041;J1540-5736;NAN;NAN;NAN;51309;324.109;-1.891;235.24591667;-57.61583333;0.612916;4.21E-16;304.5;14;27;NAN;0.24;NAN;6.349;6.349;NAN;pksmb,htru_pks;NAN
1042;J1541-42;NAN;NAN;NAN;NAN;333.514;10.214;235.47916667;-42.31388889;NAN;NAN;60;4;NAN;NAN;NAN;NAN;2.112;2.112;NAN;htru_pks;RRAT
